tmdb_id,name,headquarters,homepage,logo_path,origin_country
22040,UAA Films,,,,
109896,Loen Entertainment,,,,
91505,Plus M,"Gangnam, Seoul, South Korea",http://www.megaboxplusm.co.kr/,https://image.tmdb.org/t/p/original/c6ggS6OO4tyEcgBQ7sHs67LDfES.png,KR
82138,KP and SHOW,,,,
25639,Samsung Entertainment,,,,
103875,RedPeter Film,"Mapo, Seoul, South Korea",,https://image.tmdb.org/t/p/original/b4VEWBV2hgvrXts7VlAcnkZTLwM.png,KR
106996,Studio & New,"Gangnam, Seoul, South Korea",http://its-new.co.kr/studio/,https://image.tmdb.org/t/p/original/2In7Heq6DuXDjOwPmJqHWkpohaL.png,KR
49096,Yong Film,"Seongdong, Seoul, South Korea",,https://image.tmdb.org/t/p/original/dj9VQ8Tqw4OTP8h5JkSOQGpEeMR.png,KR
7819,Lotte Entertainment,"Songpa, Seoul, South Korea",http://lotteent.com/Main/Main.asp,https://image.tmdb.org/t/p/original/ghFZAt4edln0M7BzDExyYMzUGX1.png,KR
86763,Hwarang SPC,,,,
116613,MoonWatcher,"Goyang, Gyeonggi",http://moonwatcher.co.kr/home/,,KR
179959,Slingshot Studios,,,,KR
171514,Put Your HANDSOME,,,,
168469,Busan DR,,,,
128404,CJ ENM,"Mapo, Seoul",https://watch.cjenm.com,https://image.tmdb.org/t/p/original/dP3usmr6di1jMPH738rvbxdkmSQ.png,KR
111327,SM Life Design Group,"Paju, Gyeonggi, South Korea",http://www.smlifedesign.com,,KR
110456,Annapurna Films,"Mapo, Seoul, South Korea",,,KR
109936,Twon Media,,,,
110558,Rakuten Viki,,,,
147970,Studio Invictus,,,,KR
121610,Mega Monster,"Mapo, Seoul, South Korea",http://www.megamon.co.kr/index.html,,KR
68968,Sang Sang Film,"Goyang, Gyeonggi, South Korea",,,KR
68634,Samhwa Networks,"Gangnam, Seoul, South Korea",http://www.shnetworks.co.kr,,KR
27133,Sanai Pictures,"Yongsan, Seoul, South Korea",,https://image.tmdb.org/t/p/original/2hAfEWVO5JGBzHFjPHWFwPU9r55.png,KR
157262,TVING,"Mapo, Seoul",https://www.tving.com/,https://image.tmdb.org/t/p/original/cfMtt9sNl2bDyHuoPSZouEqDB9N.png,KR
117236,Daydream,"Yeongdeungpo, Seoul, South Korea",http://www.daydream.kr/kr/,,KR
36224,ANNEX Telecom,,,,
101323,C-STORY,,,,
145525,tvN,,,,KR
158201,Merrycow Creative,,,,
87079,Tencent,,,,
106643,Hidden Sequence,"Yongsan, Seoul, South Korea",http://www.hiddens.co.kr,,KR
160017,RED DOOR STUDIO,,https://www.youtube.com/channel/UCHNEk8QDS_HDZeP0Ioevvrg,https://image.tmdb.org/t/p/original/cePVJsatW5YZUtnGzksqGu9al6O.png,KR
126589,GNOSIS COMPANY,,,,KR
109941,Mays Entertainment,"Gangnam, Seoul, South Korea",,,KR
83678,iWill Media,"Mapo, Seoul",http://www.iwillmedia.co.kr/,,KR
105589,STRONGBERRY,"2nd floor, 90 Yeonhui-ro, Seodaemun-gu, Seoul (03725)",https://www.strongberry.kr,https://image.tmdb.org/t/p/original/yGfl1CaTE9VmlLLGXw6j9kf2sZc.png,KR
85312,DRAMAcube,,,,
106659,Choirock Contents Factory,"6, Buil-ro 5-gil, Guro-gu, Seoul, Republic of Korea",http://www.choirockcf.com/en/,https://image.tmdb.org/t/p/original/oTiChndxOdV0eORWrRzcGQLr76D.png,KR
