,tmdb_id,name,place_of_birth,deathday,gender,known_for_department,popularity,profile_img_url,birthday_dt,year,month,weekday
3094,1908290,Yoon Ye-hee,South Korea,,1.0,Acting,1.4,https://image.tmdb.org/t/p/original/vpmyims07isU7HMLQcPG1pjyS2W.jpg,1968-02-01,1968.0,2.0,3.0
3095,2749937,Jeong Ji-Hwan,,,,Acting,0.6,,,,,
3096,2344102,Oh Man-seok,"Yeongju, North Gyeongsang, South Korea",,2.0,Acting,3.231,https://image.tmdb.org/t/p/original/inPfrBDtDwWCo0oo2dopwQR0Q9n.jpg,1965-07-09,1965.0,7.0,4.0
3097,2658774,Han Gi-chan,,,2.0,Acting,1.912,https://image.tmdb.org/t/p/original/uNMupqZkjbzuXolWnYMkTdGCbyh.jpg,,,,
3098,1029192,Kang Hae-In,,,1.0,Acting,2.072,https://image.tmdb.org/t/p/original/1oYtFH37mPRSOsNovyS80UXqQRm.jpg,,,,
3099,139493,Park Sung-woong,"Chungju, North Chungcheong Province, South Korea",,2.0,Acting,12.787,https://image.tmdb.org/t/p/original/5ox3fL2MquwvfTZUyF8RPFvt6jo.jpg,1973-01-09,1973.0,1.0,1.0
3100,2082495,Yoon A-jung,"Gwangju, South Korea",,1.0,Acting,2.588,https://image.tmdb.org/t/p/original/tnA4Nvwnm5Kpd7FVh4Ga54YyCmd.jpg,1981-11-19,1981.0,11.0,3.0
3101,1245099,Huh Yi-jae,"Seoul, South Korea",,1.0,Acting,1.045,https://image.tmdb.org/t/p/original/woqxQxQzXjhS7b134wdxHMKcYNk.jpg,1987-02-19,1987.0,2.0,3.0
3102,1674546,Jung Yoon-suk,,,2.0,Acting,1.62,,2003-04-30,2003.0,4.0,2.0
3103,1547190,Cho Jung-chi,"Yeonggwaang, South Jeolla, South Korea",,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/2rSKQjELdZ0Zzgr499xk35NPQ42.jpg,1978-09-27,1978.0,9.0,2.0
3104,1180427,Kim Ri-na,South Korea,,1.0,Acting,1.126,https://image.tmdb.org/t/p/original/e1olXtP6GDZUCNtPoDdloNlnCmn.jpg,1985-08-01,1985.0,8.0,3.0
3105,2391355,Cha Si-won,South Korea,,2.0,Acting,1.534,https://image.tmdb.org/t/p/original/67udIP3G0P97vRmSN59ccYZ4XjF.jpg,1989-04-16,1989.0,4.0,6.0
3106,3259641,Choi Yi-Sun,,,,Acting,0.6,https://image.tmdb.org/t/p/original/mD4Yr9ne3vfnSJmSZJJCOr4bh0N.jpg,,,,
